City,Latitude,Longitude
"Indira Gandhi International Airport ,Delhi",28.5551678,77.08473721064372
"Taj Mahal, Agra",27.1750075,78.04210126365584
"Taj Hotel,Maharashtra",18.921778,72.8332848316978
"Agra Fort, UP",27.1798258,78.02082227320588
"Red Fort, Delhi",28.65608095,77.24079592327321
"Hawa Mahal, Jaipur ",26.923932,75.8268652
"Amer Fort, Jaipur",26.9854753,75.853973
"Stok Kangri, Ladakh",33.9862911,77.4421487
"Nubra Valley, Ladakh",33.9838337,77.8176656
"Nohkalikai Falls, Cherrapunji",25.2777336,91.7292416
"Nanda Devi, Uttarakhand",30.3760768,79.9701154
Kargil,34.5594418,76.1255982
Andaman And Nicobar Islands,12.61123865,92.83165406414926
"Khajjiar, Himachal Pradesh",32.5485701,76.0597217
Himachal Pradesh,31.81676015,77.34932051968858
Dal Lake,34.11367785,74.8699911038808
"Valley Of Flowers, Uttaranchal",30.7430879,79.6177253430334
"Pangong Tso, Leh Ladakh",33.6850323,78.72026695658604
"Ghats, Varanasi",25.3037846,83.0084102
"Sand Dunes, Jaisalmer",26.7905747,71.3104757
"Lake Pichola, Udaipur",24.56962175,73.6721832759262
"Dudhsagar Falls, Goa",15.3135273,74.3142439
"Agatti Island, Lakshadweep",10.8476321,72.18884683727894
"Munnar, Kerala",10.0869959,77.0600915
Manali,32.26309405,77.18812183241408
Raigad,18.2312768,73.4425388
Ladakh,33.9456407,77.6568576
"Tawang, Arunachal Pradesh",27.5879186,91.863733
Uttrakhand,30.07979765,78.30457657691336
"Chilka Lake, Odisha",19.7238472,85.3474734
"Agumbe, Karnataka",13.5084827,75.0962575
Rann Of Kutch,23.790559350000002,70.49681598808152
"Loktak Lake, Manipur",24.5584253,93.81323764066994
"Caves, Meghalaya",25.2447743,91.7247784
"Palolem Beach, Goa",15.0093077,74.02422899735367
Tamil Nadu,10.9094334,78.3665347
"Bhedaghat, Madhya Pradesh",23.1317464,79.8009868
"Lonar Crater, Maharashtra",19.974448199999998,76.49755330316982
"Gulmarg, Jammu And Kashmir",34.04897,74.39212
Andhra Pradesh,15.9240905,80.1863809
Karnataka,14.5203896,75.7223521
Maharashtra,18.9068356,75.6741579
"Chembra Peak, Wayanad, Kerala",11.5122716,76.0896399
Lonavala,18.7548563,73.4016729
"Mumbai, Maharashtra",19.08157715,72.88662753964906
"Jaipur, Rajasthan",26.9154576,75.8189817
Mahabaleshwar,17.893641000000002,73.61316885788803
Ooty,11.4037401,76.69591555794898
